w.440,r.440,w.500,r.500,w.675,r.675,w.870,r.870,w.1020,r.1020,w.1640,r.1640,w.2130,r.2130
425.0,0.000816275959,444.8999939,-4.753391258e-05,594.9000244,0.000122313285,855.0,9.9071777986e-22,1007.5,5.17791379e-05,1607.0,9.8420711152e-22,2059.5,-0.063
425.03755,0.000812451562,445.1999817,-5.175831262e-05,595.2000122,0.000103323776,855.03755,9.9071777986e-22,1007.53129,4.190546e-07,1607.06633,9.8420711152e-22,2060.0,0.035
425.07509,0.000808645438,445.5,-4.573327024e-05,595.5,7.9205148e-05,855.07509,1.6710670345e-12,1007.56258,3.3915e-09,1607.13267,9.8420711152e-22,2060.5,0.042
425.11264,0.000803552802,445.7999878,-4.8026531e-05,595.7999878,6.0794619e-05,855.11264,0.0025763182505,1007.59387,2.74e-11,1607.199,2.5705454108e-08,2061.0,-0.033
425.15019,0.000787273791,446.1000061,-4.498283379e-05,596.0999756,3.4779729e-05,855.15019,0.0031493217437,1007.62516,2e-13,1607.26533,0.00051486961452,2061.5,0.076
425.18773,0.000752963675,446.3999939,-4.588300362e-05,596.4000244,7.20036e-06,855.18773,0.0016352787288,1007.65645,0.0,1607.33166,0.00042257626701,2062.0,-0.062
425.22528,0.000679599239,446.6999817,-4.78001032e-05,596.7000122,-7.102978e-06,855.22528,9.040721696800001e-13,1007.68773,0.0,1607.398,0.00032959574364,2062.5,0.026
425.26283,0.000592619107,447.0,-4.891339689e-05,597.0,-1.2636418e-05,855.26283,9.9071777986e-22,1007.71902,0.0,1607.46433,0.00021461494167,2063.0,0.001
425.30038,0.000517045119,447.2999878,-5.138784647e-05,597.2999878,-9.66425e-06,855.30038,1.3397757425e-21,1007.75031,0.0,1607.53066,0.00099090542926,2063.5,0.046
425.33792,0.000478609829,447.6000061,-4.52873297e-05,597.5999756,-1.7706294e-05,855.33792,1.7187847929e-08,1007.7816,0.0,1607.597,0.001942851582,2064.0,-0.083
425.37547,0.000446352178,447.8999939,-4.634136334e-05,597.9000244,-1.9932045e-05,855.37547,3.6305083811000004e-13,1007.81289,0.0,1607.66333,0.0028877394305,2064.5,0.073
425.41302,0.000407172289,448.1999817,-4.549134057e-05,598.2000122,-1.6598394e-05,855.41302,9.9071777986e-22,1007.84418,0.0,1607.72966,0.0039545535624,2065.0,0.12
425.45056,0.000358382544,448.5,-4.675860517e-05,598.5,-1.4367762e-05,855.45056,9.9071777986e-22,1007.87547,2e-13,1607.79599,0.0025071355055,2065.5,-0.09
425.48811,0.000319883554,448.7999878,-4.523720127e-05,598.7999878,-1.3553043e-05,855.48811,9.9071777986e-22,1007.90676,2.58e-11,1607.86233,1.4449044323e-08,2066.0,0.037
425.52566,0.000311300964,449.1000061,-4.420247395e-05,599.0999756,-1.4561397e-05,855.52566,1.9601950669e-12,1007.93805,3.0903e-09,1607.92866,9.8420711152e-22,2066.5,0.083
425.5632,0.000314901732,449.3999939,-5.13648428e-05,599.4000244,-1.7229911e-05,855.5632,0.0015228136908,1007.96934,3.699978e-07,1607.99499,9.8420711152e-22,2067.0,0.051
425.60075,0.000308582098,449.6999817,-5.130687729e-05,599.7000122,-1.853534e-05,855.60075,0.0023911657341,1008.00063,4.00820129e-05,1608.06133,2.7464282745e-21,2067.5,0.037
425.6383,0.00024909126,450.0,-5.065374542e-05,600.0,-2.5093462e-05,855.6383,0.0020271884949,1008.03191,3.22505907e-05,1608.12766,0.00079056477294,2068.0,0.056
425.67584,0.000203365788,450.2999878,-4.827617202e-05,600.2999878,-1.9344263e-05,855.67584,0.0011778209513,1008.0632,2.59492878e-05,1608.19399,0.0019400676587,2068.5,-0.046
425.71339,0.000194166561,450.6000061,-4.425636493e-05,600.5999756,-2.0481758e-05,855.71339,0.001135873366,1008.09449,2.08791874e-05,1608.26033,0.0020719479895,2069.0,0.105
425.75094,0.000233083617,450.8999939,-4.972784314e-05,600.9000244,-2.4094351e-05,855.75094,0.0025615080996,1008.12578,1.67997084e-05,1608.32666,0.001673911301,2069.5,0.021
425.78849,0.000292272712,451.1999817,-4.68168268e-05,601.2000122,-1.6809314e-05,855.78849,0.0036376617825,1008.15707,1.35172863e-05,1608.39299,0.0013091654693,2070.0,0.056
425.82603,0.000326093607,451.5,-4.339578096e-05,601.5,-1.6239255e-05,855.82603,0.0014597229032,1008.18836,1.08762119e-05,1608.45932,0.00094397768422,2070.5,0.074
425.86358,0.000340239271,451.7999878,-4.956037737e-05,601.7999878,-2.1341611e-05,855.86358,9.5549925461e-09,1008.21965,8.7511638e-06,1608.52566,0.00060158518307,2071.0,0.158
425.90113,0.000360292416,452.1000061,-4.84386459e-05,602.0999756,-2.1676444e-05,855.90113,9.9071777986e-22,1008.25094,6.1797675e-06,1608.59199,0.00024902205924,2071.5,0.075
425.93867,0.000435144348,452.3999939,-4.79312567e-05,602.4000244,-2.467802e-05,855.93867,9.9071777986e-22,1008.28223,6.41478e-08,1608.65832,2.9829676326e-10,2072.0,0.101
425.97622,0.000526701876,452.6999817,-4.771928303e-05,602.7000122,-2.0440919e-05,855.97622,9.9071777986e-22,1008.31352,6.659e-10,1608.72466,9.8420711152e-22,2072.5,0.121
