nm,W/sm/nm,W/sm
330.5,1.006,332.483
331.5,0.9676,320.7594
332.5,0.9207,306.13275
333.5,0.9047,301.71745
334.5,0.9397,314.32965
335.5,0.9816,329.3268
336.5,0.7649,257.38885
337.5,0.8658,292.2075
338.5,0.9157,309.96445
339.5,0.9367,318.00964999999997
340.5,0.9916,337.63980000000004
341.5,0.9357,319.54155
342.5,0.9946,340.6505
343.5,0.9846,338.2101
344.5,0.719,247.69549999999998
345.5,0.9666,333.9603
346.5,0.9187,318.32955
347.5,0.9017,313.34074999999996
348.5,0.9477,330.27344999999997
349.5,0.8648,302.2476
350.5,1.119,392.2095
351.5,0.9926,348.8989
352.5,0.8708,306.957
353.5,1.115,394.1525
354.5,1.133,401.6485
355.5,1.058,376.119
356.5,0.9377,334.29005
357.5,0.8908,318.461
358.5,0.6271,224.81535
359.5,1.136,408.39199999999994
360.5,0.9786,352.7853
361.5,0.8937,323.07255000000004
362.5,1.175,425.9375
363.5,0.9577,348.12395
364.5,1.015,369.9675
365.5,1.263,461.62649999999996
366.5,1.249,457.7585
367.5,1.214,446.145
368.5,1.088,400.92800000000005
369.5,1.331,491.80449999999996
370.5,1.075,398.28749999999997
371.5,1.307,485.5505
372.5,1.065,396.7125
373.5,0.8378,312.9183
374.5,0.8778,328.7361
375.5,1.141,428.4455
376.5,1.101,414.5265
377.5,1.291,487.35249999999996
378.5,1.341,507.5685
379.5,0.9996,379.3482
380.5,1.289,490.4645
381.5,1.096,418.124
382.5,0.733,280.3725
383.5,0.684,262.314
384.5,1.027,394.88149999999996
385.5,0.9537,367.65135
386.5,1.071,413.94149999999996
387.5,0.9656,374.17
388.5,0.9117,354.19545
389.5,1.227,477.91650000000004
390.5,1.223,477.58150000000006
391.5,1.398,547.317
392.5,0.9547,374.71975
393.5,0.4893,192.53955
394.5,1.101,434.3445
395.5,1.378,544.9989999999999
396.5,0.6501,257.76465
397.5,1.04,413.40000000000003
398.5,1.538,612.893
399.5,1.655,661.1725
400.5,1.649,660.4245
401.5,1.796,721.094
402.5,1.803,725.7075
403.5,1.658,669.0029999999999
404.5,1.602,648.009
405.5,1.672,677.996
406.5,1.624,660.1560000000001
407.5,1.545,629.5875
408.5,1.824,745.104
409.5,1.706,698.607
410.5,1.502,616.571
411.5,1.819,748.5185
412.5,1.791,738.7875
413.5,1.758,726.933
414.5,1.739,720.8155
415.5,1.736,721.308
416.5,1.844,768.0260000000001
417.5,1.667,695.9725
418.5,1.686,705.591
419.5,1.703,714.4085
420.5,1.76,740.08
421.5,1.799,758.2785
422.5,1.584,669.24
423.5,1.713,725.4555
424.5,1.77,751.365
425.5,1.697,722.0735000000001
426.5,1.7,725.05
427.5,1.571,671.6025
428.5,1.589,680.8865
429.5,1.477,634.3715000000001
430.5,1.136,489.04799999999994
431.5,1.688,728.372
432.5,1.648,712.76
433.5,1.733,751.2555000000001
434.5,1.672,726.4839999999999
435.5,1.725,751.2375000000001
436.5,1.931,842.8815000000001
437.5,1.808,791.0
438.5,1.569,688.0065
439.5,1.827,802.9665
440.5,1.715,755.4575
441.5,1.933,853.4195
442.5,1.982,877.035
443.5,1.911,847.5285
444.5,1.975,877.8875
445.5,1.823,812.1465
446.5,1.893,845.2245
447.5,2.079,930.3525000000001
448.5,1.975,885.7875
449.5,2.029,912.0355
450.5,2.146,966.7729999999999
451.5,2.111,953.1165000000001
452.5,1.943,879.2075
453.5,1.972,894.302
454.5,1.981,900.3645
455.5,2.036,927.398
456.5,2.079,949.0635000000001
457.5,2.102,961.665
458.5,1.973,904.6205
459.5,2.011,924.0545000000001
460.5,2.042,940.3409999999999
461.5,2.057,949.3054999999999
462.5,2.106,974.025
463.5,2.042,946.4669999999999
464.5,1.978,918.781
